State,City
Acre,Rio Branco
Alagoas,Arapiraca
Alagoas,Maceio
Amapa,Macapa
Amapa,Santana
Amazonas,Itacoatiara
Amazonas,Manaus
Amazonas,Parintins
Bahia,Alagoinhas
Bahia,Barreiras
Bahia,Camacari
Bahia,Eunapolis
Bahia,Feira de Santana
Bahia,Ilheus
Bahia,Itabuna
Bahia,Jequie
Bahia,Juazeiro
Bahia,Lauro de Freitas
Bahia,Paulo Afonso
Bahia,Porto Seguro
Bahia,Salvador
Bahia,Santo Antonio de Jesus
Bahia,Simoes Filho
Bahia,Teixeira de Freitas
Bahia,Vitoria da Conquista
Ceara,Caucaia
Ceara,Crato
Ceara,Fortaleza
Ceara,Iguatu
Ceara,Itapipoca
Ceara,Juazeiro do Norte
Ceara,Maracanau
Ceara,Maranguape
Ceara,Sobral
Distrito Federal,Brasilia
Espirito Santo,Aracruz
Espirito Santo,Cachoeiro de Itapemirim
Espirito Santo,Cariacica
Espirito Santo,Colatina
Espirito Santo,Guarapari
Espirito Santo,Linhares
Espirito Santo,Sao Mateus
Espirito Santo,Serra
Espirito Santo,Vila Velha
Espirito Santo,Vitoria
Goias,Aguas Lindas de Goias
Goias,Anapolis
Goias,Aparecida de Goiania
Goias,Catalao
Goias,Formosa
Goias,Goiania
Goias,Itumbiara
Goias,Jatai
Goias,Luziania
Goias,Novo Gama
Goias,Rio Verde
Goias,Senador Canedo
Goias,Trindade
Goias,Valparaiso de Goias
Maranhao,Acailandia
Maranhao,Bacabal
Maranhao,Caxias
Maranhao,Codo
Maranhao,Imperatriz
Maranhao,Paco do Lumiar
Maranhao,Sao Jose de Ribamar
Maranhao,Sao Luis
Maranhao,Timon
Mato Grosso,Cuiaba
Mato Grosso,Rondonopolis
Mato Grosso,Sinop
Mato Grosso,Tangara da Serra
Mato Grosso,Varzea Grande
Mato Grosso do Sul,Campo Grande
Mato Grosso do Sul,Corumba
Mato Grosso do Sul,Dourados
Mato Grosso do Sul,Tres Lagoas
Minas Gerais,Araguari
Minas Gerais,Araxa
Minas Gerais,Barbacena
Minas Gerais,Belo Horizonte
Minas Gerais,Betim
Minas Gerais,Conselheiro Lafaiete
Minas Gerais,Contagem
Minas Gerais,Coronel Fabriciano
Minas Gerais,Divinopolis
Minas Gerais,Governador Valadares
Minas Gerais,Ibirite
Minas Gerais,Ipatinga
Minas Gerais,Itabira
Minas Gerais,Ituiutaba
Minas Gerais,Juiz de Fora
Minas Gerais,Lavras
Minas Gerais,Montes Claros
Minas Gerais,Muriae
Minas Gerais,Nova Serrana
Minas Gerais,Passos
Minas Gerais,Patos de Minas
Minas Gerais,Pocos de Caldas
Minas Gerais,Pouso Alegre
Minas Gerais,Ribeirao das Neves
Minas Gerais,Sabara
Minas Gerais,Santa Luzia
Minas Gerais,Sete Lagoas
Minas Gerais,Teofilo Otoni
Minas Gerais,Uba
Minas Gerais,Uberaba
Minas Gerais,Uberlandia
Minas Gerais,Varginha
Minas Gerais,Vespasiano
Para,Abaetetuba
Para,Altamira
Para,Ananindeua
Para,Barcarena
Para,Belem
Para,Braganca
Para,Breves
Para,Cameta
Para,Castanhal
Para,Itaituba
Para,Maraba
Para,Marituba
Para,Paragominas
Para,Parauapebas
Para,Santarem
Para,Sao Felix do Xingu
Para,Tailandia
Para,Tucurui
Paraiba,Campina Grande
Paraiba,Joao Pessoa
Paraiba,Patos
Paraiba,Santa Rita
Parana,Almirante Tamandare
Parana,Apucarana
Parana,Arapongas
Parana,Araucaria
Parana,Cambe
Parana,Campo Largo
Parana,Cascavel
Parana,Colombo
Parana,Curitiba
Parana,Fazenda Rio Grande
Parana,Foz do Iguacu
Parana,Guarapuava
Parana,Londrina
Parana,Maringa
Parana,Paranagua
Parana,Pinhais
Parana,Piraquara
Parana,Ponta Grossa
Parana,Sao Jose dos Pinhais
Parana,Toledo
Parana,Umuarama
Pernambuco,Abreu e Lima
Pernambuco,Cabo de Santo Agostinho
Pernambuco,Camaragibe
Pernambuco,Caruaru
Pernambuco,Garanhuns
Pernambuco,Igarassu
Pernambuco,Jaboatao dos Guararapes
Pernambuco,Olinda
Pernambuco,Paulista
Pernambuco,Petrolina
Pernambuco,Recife
Pernambuco,Santa Cruz do Capibaribe
Pernambuco,Sao Lourenco da Mata
Pernambuco,Vitoria de Santo Antao
Piaui,Parnaiba
Piaui,Teresina
