zip_code_prefix,latitude,longitude,location,state_abbr
1001,-23.549779299469115,-46.6339571183853,Sao Paulo,SP
1002,-23.54831797807146,-46.63542110199666,Sao Paulo,SP
1003,-23.5490832616594,-46.63486400979368,Sao Paulo,SP
1004,-23.550115903139226,-46.63512161420169,Sao Paulo,SP
1005,-23.549980033585307,-46.63476783166945,Sao Paulo,SP
1006,-23.55052430835593,-46.63669363835193,Sao Paulo,SP
1007,-23.550392524842728,-46.63730164071784,Sao Paulo,SP
1008,-23.5480135387212,-46.63709742838599,Sao Paulo,SP
1009,-23.54693540437998,-46.63658792659698,Sao Paulo,SP
1010,-23.547806958346342,-46.63612181853806,Sao Paulo,SP
1011,-23.547639550320632,-46.63603162315495,Sao Paulo,SP
1012,-23.548945985189437,-46.63467113292871,Sao Paulo,SP
1013,-23.547686322234377,-46.6341397692307,Sao Paulo,SP
1014,-23.546435343326205,-46.63383023397196,Sao Paulo,SP
1015,-23.54956898779498,-46.62908488080666,Sao Paulo,SP
1016,-23.54944327061568,-46.63234970260834,Sao Paulo,SP
1017,-23.55001091199737,-46.63116636914989,Sao Paulo,SP
1018,-23.552143145161256,-46.63270720967747,Sao Paulo,SP
1019,-23.552151883432384,-46.63080224715792,Sao Paulo,SP
1020,-23.552549496537548,-46.63163152553523,Sao Paulo,SP
1021,-23.54516769470249,-46.63224867958328,Sao Paulo,SP
1022,-23.54498660505508,-46.63345367485142,Sao Paulo,SP
1023,-23.54417619677996,-46.63217303372952,Sao Paulo,SP
1024,-23.54186295323959,-46.63003529431536,Sao Paulo,SP
1025,-23.54040852242101,-46.63149317466289,Sao Paulo,SP
1026,-23.53984025062037,-46.6302639919499,Sao Paulo,SP
1027,-23.538301166801343,-46.63076391104508,Sao Paulo,SP
1028,-23.53624171663104,-46.6320595335853,Sao Paulo,SP
1029,-23.543769055769133,-46.63427784085132,Sao Paulo,SP
1030,-23.538399296150907,-46.632887607680814,Sao Paulo,SP
1031,-23.542520789115148,-46.63533516134283,Sao Paulo,SP
1032,-23.5398418758395,-46.63514797691531,Sao Paulo,SP
1033,-23.54032130474925,-46.636394815973325,Sao Paulo,SP
1034,-23.54239162719593,-46.63770927785183,Sao Paulo,SP
1035,-23.541740936176268,-46.641356197760906,Sao Paulo,SP
1036,-23.54282808353057,-46.63939930668248,Sao Paulo,SP
1037,-23.54562128115268,-46.63929204800168,Sao Paulo,SP
