state,abbr,population
Sao Paulo,SP,46289333
Acre,AC,894470
Minas Gerais,MG,21292666
Alagoas,AL,3351543
Rio de Janeiro,RJ,17366189
Amapa,AP,861773
Bahia,BA,14930634
Amazonas,AM,4207714
Parana,PR,11516840
Rio Grande do Sul,RS,11422973
Ceara,CE,9187103
Pernambuco,PE,9616621
Distrito Federal,DF,3055149
Espirito Santo,ES,4064052
Para,PA,8690745
Goias,GO,7113540
Santa Catarina,SC,7252502
Maranhao,MA,7114598
Mato Grosso,MT,3526220
Mato Grosso do Sul,MS,2809394
Paraiba,PB,4039277
Rio Grande do Norte,RN,3534165
Piaui,PI,3281480
Sergipe,SE,2318822
Rondonia,RO,1796460
Roraima,RR,631181
Tocantins,TO,1590248
